lat,lon
46.4,5.2000046
46.4,5.4500046
46.4,5.7000046
47.35,10.150002
47.35,10.400002
46.4,5.9500046
47.35,10.900002
47.700005,8.099998
47.700005,8.349998
47.700005,8.599998
47.700005,8.849998
45.700005,10.200005
45.700005,10.450005
45.700005,10.950005
45.4,8.150002
45.4,8.400002
45.4,8.650002
45.4,8.900002
47.300003,13.150002
45.550003,8.200005
45.550003,8.450005
45.550003,8.700005
45.550003,8.950005
46.85,8.050003
46.5,12.0
46.5,12.25
46.5,12.5
46.5,12.75
45.75,13.349998
45.75,13.599998
45.75,13.849998
45.050003,7.050003
45.050003,7.300003
47.450005,5.1500015
48.0,11.200005
48.0,11.450005
48.0,11.700005
48.0,11.950005
47.450005,5.4000015
47.450005,5.6500015
47.450005,5.9000015
45.1,7.0999985
45.1,7.3499985
45.1,7.5999985
45.1,7.8499985
44.9,6.050003
46.0,11.099998
46.0,11.349998
46.0,11.599998
46.0,11.849998
44.9,6.550003
44.9,6.800003
46.450005,6.2000046
46.450005,6.9500046
46.6,6.0999985
46.6,6.3499985
46.6,6.5999985
46.6,6.8499985
45.450005,9.150002
45.450005,9.400002
45.450005,9.650002
45.450005,9.900002
44.300003,12.099998
44.300003,12.349998
47.950005,5.2000046
47.950005,5.4500046
47.950005,5.7000046
47.950005,5.9500046
45.85,8.099998
45.85,8.349998
45.85,8.849998
44.950005,7.050003
44.950005,7.300003
44.950005,7.550003
44.950005,7.800003
44.65,5.0
44.65,5.25
44.65,5.5
44.75,5.1500015
44.75,5.4000015
46.550003,10.25
44.75,5.6500015
44.65,5.75
47.65,10.0
47.65,10.25
47.65,10.5
47.65,10.75
45.800003,11.099998
45.800003,11.349998
45.800003,11.599998
45.800003,11.849998
46.050003,9.099998
46.050003,9.349998
46.050003,9.599998
47.15,9.099998
47.15,9.349998
46.9,7.2000046
46.9,7.4500046
46.9,7.7000046
47.85,12.150002
47.85,12.650002
47.85,12.900002
46.9,7.9500046
45.25,11.150002
45.25,11.400002
45.25,11.650002
45.25,11.900002
45.9,10.150002
45.9,10.400002
45.9,10.650002
47.35,11.0
47.35,11.25
47.35,11.5
47.35,11.75
45.9,10.900002
45.6,6.050003
45.6,6.300003
44.6,6.2000046
44.6,6.4500046
44.6,6.7000046
46.450005,10.950005
45.700005,11.050003
45.700005,11.300003
45.700005,11.550003
45.700005,11.800003
45.4,9.0
45.4,9.25
45.4,9.5
45.4,9.75
47.300003,14.25
47.300003,14.5
47.300003,14.75
45.550003,9.050003
45.550003,9.300003
47.950005,7.1500015
47.950005,7.4000015
47.950005,7.6500015
47.950005,7.9000015
45.550003,9.550003
45.550003,9.800003
47.75,5.0
47.75,5.25
47.75,5.5
47.75,5.75
46.5,13.099998
46.5,13.349998
46.5,13.599998
47.950005,9.200005
48.0,12.050003
48.0,12.300003
48.0,12.550003
48.0,12.800003
47.950005,9.450005
47.950005,9.700005
47.950005,9.950005
47.450005,8.050003
47.450005,8.300003
47.450005,8.550003
47.450005,8.800003
46.300003,6.2000046
46.300003,6.4500046
46.300003,6.7000046
46.300003,6.9500046
45.950005,11.150002
45.950005,11.400002
45.950005,11.650002
45.950005,11.900002
44.800003,14.349998
46.25,12.200005
46.25,12.450005
46.25,12.700005
46.25,12.950005
45.450005,10.0
45.450005,10.25
45.450005,10.5
45.450005,10.75
47.700005,8.150002
47.700005,8.400002
47.700005,8.650002
47.700005,8.900002
47.1,7.2000046
47.1,7.4500046
47.1,7.7000046
47.1,7.9500046
44.700005,7.2000046
44.700005,7.4500046
44.700005,7.7000046
46.550003,11.099998
46.550003,11.349998
46.550003,11.599998
47.65,11.099998
47.65,11.349998
47.65,11.599998
47.65,11.849998
46.15,5.050003
46.15,5.300003
46.15,5.550003
47.200005,7.0
47.200005,7.25
47.200005,7.5
47.200005,7.75
46.15,5.800003
46.35,5.1500015
46.35,5.4000015
46.35,5.6500015
46.35,5.9000015
45.75,13.400002
45.75,13.650002
45.75,13.900002
47.85,13.0
47.85,13.25
47.85,13.5
47.85,13.75
46.0,11.150002
46.0,11.400002
46.0,11.650002
46.0,11.900002
45.25,12.0
45.25,12.25
46.950005,12.950005
45.9,11.0
45.9,11.25
45.9,11.75
47.35,12.099998
47.35,12.349998
45.9,11.5
47.35,12.599998
47.35,12.849998
44.5,6.0999985
44.5,6.3499985
44.5,6.8499985
45.4,10.099998
45.4,10.349998
45.4,10.599998
45.4,10.849998
47.4,9.050003
47.4,9.300003
47.4,9.550003
47.4,9.800003
46.85,5.2000046
46.85,5.4500046
46.85,5.7000046
46.85,5.9500046
